"State","CD#","2018 Cook PVI Score","2018 Winner","Party","Dem Votes","GOP Votes","Other Votes","Dem %","GOP %","Other %","Dem Margin%","2016 Clinton Margin","Swing vs. 2016 Prez","2016 Total Votes Cast","Raw Votes vs. 2016 ","Final?"
"Texas","4","R+28","John Ratcliffe","R","57,209","188,003","3,161","23.0%","75.7%","1.3%","-52.7%","-53.2%","0.5%","281,123","88.4%",""
"Texas","5","R+16","Lance Gooden","R","78,394","130,404","0","37.5%","62.5%","0.0%","-24.9%","-28.3%","3.4%","233,340","89.5%",""
"Texas","6","R+9","Ron Wright","R","116,040","135,779","3,724","45.4%","53.1%","1.5%","-7.7%","-12.2%","4.5%","276,953","92.3%",""
"Texas","7","R+7","Lizzie Fletcher","D","126,168","114,859","0","52.3%","47.7%","0.0%","4.7%","1.4%","3.3%","258,953","93.1%",""
"Texas","8","R+28","Kevin Brady","R","67,027","198,241","4,597","24.8%","73.5%","1.7%","-48.6%","-48.3%","-0.3%","298,315","90.5%",""
"Texas","9","D+29","Al Green","D","135,427","0","16,643","89.1%","0.0%","10.9%","89.1%","61.2%","","191,513","79.4%",""
"Texas","10","R+9","Michael McCaul","R","142,511","154,652","6,569","46.9%","50.9%","2.2%","-4.0%","-9.1%","5.1%","317,561","95.6%",""
"Texas","11","R+32","Mike Conaway","R","40,028","174,749","3,106","18.4%","80.2%","1.4%","-61.8%","-58.5%","-3.3%","249,682","87.3%",""
"Texas","12","R+18","Kay Granger","R","90,676","172,205","4,926","33.9%","64.3%","1.8%","-30.4%","-30.0%","-0.4%","285,007","94.0%",""
"Texas","13","R+33","Mac Thornberry","R","33,956","162,317","3,044","17.0%","81.4%","1.5%","-64.4%","-62.8%","-1.6%","239,860","83.1%",""
"Texas","14","R+12","Randy Weber","R","90,937","137,582","3,354","39.2%","59.3%","1.4%","-20.1%","-19.7%","-0.4%","264,338","87.7%",""
"Texas","15","D+7","Vicente Gonzalez","D","97,991","62,867","2,593","60.0%","38.5%","1.6%","21.5%","16.6%","4.9%","185,819","88.0%",""
"Texas","16","D+17","Veronica Escobar","D","122,676","48,495","8,079","68.4%","27.1%","4.5%","41.4%","40.3%","1.1%","194,603","92.1%",""
"Texas","17","R+12","Bill Flores","R","96,655","130,751","4,358","41.7%","56.4%","1.9%","-14.7%","-17.3%","2.6%","250,189","92.6%",""
"Texas","18","D+27","Sheila Jackson Lee","D","137,567","38,081","7,196","75.2%","20.8%","3.9%","54.4%","56.3%","-1.9%","206,135","88.7%",""
"Texas","19","R+27","Jodey Arrington","R","49,941","152,012","0","24.7%","75.3%","0.0%","-50.5%","-48.7%","-1.8%","229,585","88.0%",""
"Texas","20","D+10","Joaquin Castro","D","138,249","0","32,727","80.9%","0.0%","19.1%","80.9%","26.4%","","219,982","77.7%",""
"Texas","21","R+10","Chip Roy","R","167,020","176,913","7,497","47.5%","50.3%","2.1%","-2.8%","-9.9%","7.1%","362,694","96.9%",""
"Texas","22","R+10","Pete Olson","R","137,500","152,318","6,488","46.4%","51.4%","2.2%","-5.0%","-7.8%","2.8%","308,653","96.0%",""
"Texas","23","R+1","Will Hurd","R","101,753","102,903","4,402","48.7%","49.2%","2.1%","-0.6%","3.5%","-4.1%","233,136","89.7%",""
"Texas","24","R+9","Kenny Marchant","R","124,580","132,992","4,861","47.5%","50.7%","1.9%","-3.2%","-6.2%","3.0%","277,497","94.6%",""
"Texas","25","R+11","Roger Williams","R","135,288","162,288","5,124","44.7%","53.6%","1.7%","-8.9%","-14.7%","5.8%","315,361","96.0%",""
"Texas","26","R+18","Michael Burgess","R","121,584","185,268","5,008","39.0%","59.4%","1.6%","-20.4%","-26.2%","5.8%","322,035","96.8%",""
"Texas","27","R+13","Michael Cloud","R","75,761","124,958","6,360","36.6%","60.3%","3.1%","-23.8%","-23.4%","-0.4%","235,405","88.0%",""
"Texas","28","D+9","Henry Cuellar","D","117,178","0","21,647","84.4%","0.0%","15.6%","84.4%","19.7%","","190,247","73.0%",""
"Texas","29","D+19","Sylvia Garcia","D","87,679","27,945","1,187","75.1%","23.9%","1.0%","51.1%","45.6%","5.5%","133,934","87.2%",""
"Texas","30","D+29","Eddie Bernice Johnson","D","166,102","0","16,318","91.1%","0.0%","8.9%","91.1%","60.8%","","220,711","82.7%",""
"Texas","31","R+10","John Carter","R","134,675","143,330","4,936","47.6%","50.7%","1.7%","-3.1%","-12.5%","9.4%","292,427","96.8%",""
"Texas","32","R+5","Colin Allred","D","142,885","125,600","5,424","52.2%","45.9%","2.0%","6.3%","1.9%","4.4%","278,463","98.4%",""
"Texas","33","D+23","Marc Veasey","D","90,311","26,007","2,291","76.1%","21.9%","1.9%","54.2%","49.1%","5.1%","129,867","91.3%",""
"Texas","34","D+10","Filemon Vela","D","85,647","57,157","0","60.0%","40.0%","0.0%","20.0%","21.5%","-1.5%","172,183","82.9%",""
"Texas","35","D+15","Lloyd Doggett","D","137,325","50,276","5,215","71.2%","26.1%","2.7%","45.1%","33.3%","11.8%","202,033","95.4%",""
"Texas","36","R+26","Brian Babin","R","60,486","160,592","0","27.4%","72.6%","0.0%","-45.3%","-46.5%","1.2%","255,510","86.5%",""
"Utah","1","R+26","Rob Bishop","R","53,104","137,979","29,075","24.1%","62.7%","13.2%","-38.6%","-27.4%","-11.2%","280,453","78.5%",""
"Utah","2","R+16","Chris Stewart","R","87,766","133,643","10,742","37.8%","57.6%","4.6%","-19.8%","-14.0%","-5.8%","283,693","81.8%",""
"Utah","3","R+25","John Curtis","R","52,838","124,683","8,559","28.4%","67.0%","4.6%","-38.6%","-23.9%","-14.7%","289,925","64.2%",""
"Utah","4","R+13","","","108,401","103,115","0","51.2%","48.8%","0.0%","2.5%","-6.7%","9.2%","277,318","76.3%",""
"Vermont","","D+15","Peter Welch","D","188,547","70,705","12,967","69.3%","26.0%","4.8%","43.3%","26.4%","16.9%","315,077","86.4%",""
"Virginia","1","R+8","Rob Wittman","R","148,433","183,224","387","44.7%","55.2%","0.1%","-10.5%","-12.4%","1.9%","395,784","83.9%",""
"Virginia","2","R+3","Elaine Luria","D","139,411","133,361","371","51.0%","48.8%","0.1%","2.2%","-3.4%","5.6%","326,766","83.6%",""
"Virginia","3","D+16","Bobby Scott","D","198,562","0","19,105","91.2%","0.0%","8.8%","91.2%","31.5%","","325,478","66.9%",""
"Virginia","4","D+10","Don McEachin","D","186,412","107,594","4,426","62.5%","36.1%","1.5%","26.4%","21.4%","5.0%","364,550","81.9%",""
"Virginia","5","R+6","Denver Riggleman","R","145,040","165,339","547","46.6%","53.2%","0.2%","-6.5%","-11.0%","4.5%","367,564","84.6%",""
"Virginia","6","R+13","Ben Cline","R","112,670","167,437","278","40.2%","59.7%","0.1%","-19.5%","-24.6%","5.1%","347,830","80.6%",""
"Virginia","7","R+6","Abigail Spanberger","D","175,998","169,320","4,369","50.3%","48.4%","1.2%","1.9%","-6.5%","8.4%","394,763","88.6%",""
"Virginia","8","D+21","Don Beyer","D","246,925","76,828","711","76.1%","23.7%","0.2%","52.4%","51.8%","0.6%","373,446","86.9%",""
"Virginia","9","R+19","Morgan Griffith","R","85,830","160,931","214","34.8%","65.2%","0.1%","-30.4%","-41.3%","10.9%","318,350","77.6%",""
"Virginia","10","D+1","Jennifer Wexton","D","206,245","160,790","598","56.1%","43.7%","0.2%","12.4%","9.8%","2.6%","408,608","90.0%",""
"Virginia","11","D+15","Gerry Connolly","D","218,957","82,967","6,041","71.1%","26.9%","2.0%","44.2%","38.9%","5.3%","361,492","85.2%",""
"Washington","1","D+6","Suzan DelBene","D","184,896","127,388","0","59.2%","40.8%","0.0%","18.4%","16.4%","2.0%","347,060","90.0%",""
"Washington","2","D+10","Rick Larsen","D","193,209","0","76,475","71.6%","0.0%","28.4%","71.6%","22.1%","","327,533","82.3%",""
"Washington","3","R+4","Jaime Herrera Beutler","R","140,651","157,745","0","47.1%","52.9%","0.0%","-5.7%","-7.4%","1.7%","315,150","94.7%",""
"Washington","4","R+13","Dan Newhouse","R","66,423","120,540","0","35.5%","64.5%","0.0%","-28.9%","-22.9%","-6.0%","242,666","77.0%",""
"Washington","5","R+8","Cathy McMorris Rodgers","R","117,668","144,873","0","44.8%","55.2%","0.0%","-10.4%","-13.0%","2.6%","319,560","82.2%",""
"Washington","6","D+6","Derek Kilmer","D","184,570","106,661","0","63.4%","36.6%","0.0%","26.8%","12.4%","14.4%","333,450","87.3%",""
"Washington","7","D+33","Pramila Jayapal","D","315,427","62,647","0","83.4%","16.6%","0.0%","66.9%","69.8%","-2.9%","415,979","90.9%",""
"Washington","8","EVEN","Kim Schrier","D","148,327","133,242","0","52.7%","47.3%","0.0%","5.4%","3.0%","2.4%","320,558","87.8%",""
"Washington","9","D+21","Adam Smith","D","228,770","0","0","100.0%","0.0%","0.0%","100.0%","47.1%","","291,632","78.4%",""
"Washington","10","D+5","Denny Heck","D","142,656","89,994","0","61.3%","38.7%","0.0%","22.6%","11.3%","11.3%","294,847","78.9%",""
"West Virginia","1","R+19","David McKinley","R","70,402","128,725","0","35.4%","64.6%","0.0%","-29.3%","-41.6%","12.3%","243,894","81.6%",""
"West Virginia","2","R+17","Alex Mooney","R","86,678","109,018","6,213","42.9%","54.0%","3.1%","-11.1%","-36.4%","25.3%","250,267","80.7%",""
"West Virginia","3","R+23","Carol Miller","R","75,776","98,048","0","43.6%","56.4%","0.0%","-12.8%","-49.3%","36.5%","218,890","79.4%",""
"Wisconsin","1","R+5","Bryan Steil ","R","137,507","177,490","10,006","42.3%","54.6%","3.1%","-12.3%","-10.3%","-2.0%","359,815","90.3%",""
"Wisconsin","2","D+18","Mark Pocan","D","300,571","0","6,186","98.0%","0.0%","2.0%","98.0%","36.3%","","418,192","73.4%",""
"Wisconsin","3","EVEN","Ron Kind","D","187,615","126,897","0","59.7%","40.3%","0.0%","19.3%","-4.5%","23.8%","363,271","86.6%",""
"Wisconsin","4","D+25","Gwen Moore","D","208,127","60,240","7,228","75.5%","21.9%","2.6%","53.7%","51.5%","2.2%","312,481","88.2%",""
"Wisconsin","5","R+13","Jim Sensenbrenner","R","136,995","223,989","0","38.0%","62.0%","0.0%","-24.1%","-19.8%","-4.3%","405,647","89.0%",""
"Wisconsin","6","R+8","Glenn Grothman","R","144,530","180,314","0","44.5%","55.5%","0.0%","-11.0%","-16.6%","5.6%","371,109","87.5%",""
"Wisconsin","7","R+8","Sean Duffy","R","123,548","193,126","4,372","38.5%","60.2%","1.4%","-21.7%","-20.3%","-1.4%","373,201","86.0%",""
"Wisconsin","8","R+7","Mike Gallagher","R","119,263","209,400","0","36.3%","63.7%","0.0%","-27.4%","-17.4%","-10.0%","372,434","88.2%",""
"Wyoming","","R+25","Liz Cheney","R","59,929","127,882","13,078","29.8%","63.7%","6.5%","-33.8%","-46.3%","12.5%","255,849","78.5%",""
