"State","CD#","2018 Cook PVI Score","2018 Winner","Party","Dem Votes","GOP Votes","Other Votes","Dem %","GOP %","Other %","Dem Margin%","2016 Clinton Margin","Swing vs. 2016 Prez","2016 Total Votes Cast","Raw Votes vs. 2016 ","Final?"
"Indiana","3","R+18","Jim Banks","R","86,420","158,355","0","35.3%","64.7%","0.0%","-29.4%","-34.8%","5.4%","292,911","83.6%",""
"Indiana","4","R+17","Jim Baird","R","83,200","148,603","0","35.9%","64.1%","0.0%","-28.2%","-33.9%","5.7%","304,049","76.2%",""
"Indiana","5","R+9","Susan Brooks","R","126,586","175,768","0","41.9%","58.1%","0.0%","-16.3%","-11.7%","-4.6%","366,635","82.5%",""
"Indiana","6","R+18","Greg Pence","R","73,004","138,557","6,858","33.4%","63.4%","3.1%","-30.0%","-40.2%","10.2%","302,405","84.5%",""
"Indiana","7","D+11","Andre Carson","D","116,673","69,047","0","62.8%","37.2%","0.0%","25.6%","22.5%","3.1%","268,048","69.3%",""
"Indiana","8","R+15","Larry Bucshon","R","86,409","157,209","0","35.5%","64.5%","0.0%","-29.1%","-33.6%","4.5%","301,334","80.8%",""
"Indiana","9","R+13","Trey Hollingsworth","R","100,324","146,699","0","40.6%","59.4%","0.0%","-18.8%","-26.8%","8.0%","326,098","75.8%",""
"Iowa","1","D+1","Abby Finkenauer","D","169,348","152,940","10,228","50.9%","46.0%","3.1%","4.9%","-3.5%","8.4%","395,633","84.0%",""
"Iowa","2","D+1","Dave Loebsack","D","171,054","133,010","8,010","54.8%","42.6%","2.6%","12.2%","-4.1%","16.3%","384,495","81.2%",""
"Iowa","3","R+1","Cindy Axne","D","169,886","164,656","11,976","49.0%","47.5%","3.5%","1.5%","-3.5%","5.0%","402,164","86.2%",""
"Iowa","4","R+11","Steve King","R","146,698","157,221","8,251","47.0%","50.4%","2.6%","-3.4%","-27.1%","23.7%","383,739","81.3%",""
